District,U/R,CPN,Discp.
MIRPURKHAS,R,69.995,AR
MIRPURKHAS,R,69.77,CE-K
MIRPURKHAS,R,69.76100000000001,AR
MIRPURKHAS,R,69.22,PG
MIRPURKHAS,R,68.866,CH
MIRPURKHAS,R,68.755,CH
MIRPURKHAS,R,68.562,CRP
MIRPURKHAS,R,68.047,TE
MIRPURKHAS,R,67.99,MT
MIRPURKHAS,R,67.875,TL
MIRPURKHAS,R,67.813,TL
MIRPURKHAS,R,67.796,TL
MIRPURKHAS,R,67.733,TE
MIRPURKHAS,R,67.676,EE
MIRPURKHAS,R,67.305,EE
MIRPURKHAS,R,67.235,TE
MIRPURKHAS,R,66.99600000000001,MN
MIRPURKHAS,R,66.829,IN
MIRPURKHAS,R,66.547,IN
MIRPURKHAS,R,66.52,EL-K
MIRPURKHAS,R,66.337,CRP
MIRPURKHAS,R,66.197,MN
MIRPURKHAS,R,65.695,CRP
MIRPURKHAS,R,65.525,PG-K
MIRPURKHAS,R,65.462,SW-K
N.FEROZE,U,81.06,ME
N.FEROZE,U,75.03399999999999,SW
N.FEROZE,U,71.771,PG-K
N.FEROZE,R,83.259,CE
N.FEROZE,R,82.45700000000001,EL
N.FEROZE,R,81.681,EL
N.FEROZE,R,79.982,ES
N.FEROZE,R,79.572,CE-K
N.FEROZE,R,78.973,CE-K
N.FEROZE,R,77.958,CE-K
N.FEROZE,R,77.806,ES
N.FEROZE,R,77.785,CH
N.FEROZE,R,77.765,ES
N.FEROZE,R,77.656,CE-K
N.FEROZE,R,77.486,CH
N.FEROZE,R,76.672,CS
N.FEROZE,R,75.73,EL-K
N.FEROZE,R,75.43,PG
N.FEROZE,R,75.393,ME-K
N.FEROZE,R,75.222,SW
N.FEROZE,R,75.217,ME-K
N.FEROZE,R,75.178,ME-K
N.FEROZE,R,74.999,PG
N.FEROZE,R,74.781,SW
N.FEROZE,R,74.333,EL-K
N.FEROZE,R,74.149,MN
N.FEROZE,R,73.748,ME-K
N.FEROZE,R,73.721,EL-K
N.FEROZE,R,73.691,CS
N.FEROZE,R,73.63,EL-K
N.FEROZE,R,73.181,MTE
N.FEROZE,R,73.17399999999999,AR
N.FEROZE,R,72.962,ES-K
N.FEROZE,R,72.778,PG-K
N.FEROZE,R,72.548,TL
N.FEROZE,R,72.219,TL
N.FEROZE,R,71.959,TL
N.FEROZE,R,71.727,SW-K
N.FEROZE,R,71.57300000000001,CRP
N.FEROZE,R,71.274,EE
N.FEROZE,R,71.178,ES-K
N.FEROZE,R,71.171,BM
N.FEROZE,R,71.138,MN
N.FEROZE,R,71.035,IN
N.FEROZE,R,70.964,SW-K
N.FEROZE,R,70.90100000000001,IN
N.FEROZE,R,70.71,PG-K
N.FEROZE,R,70.678,PG-K
N.FEROZE,R,70.345,SW-K
N.FEROZE,R,70.26,TE
N.FEROZE,R,69.916,TE
N.FEROZE,R,69.773,MT
N.FEROZE,R,69.547,MT
S.B.ABAD,U,78.932,AR
S.B.ABAD,U,78.416,ES
S.B.ABAD,U,74.719,CS
S.B.ABAD,U,73.82600000000001,PG
S.B.ABAD,U,73.726,MTE
S.B.ABAD,U,72.52600000000001,EL-K
S.B.ABAD,U,72.097,SW-K
S.B.ABAD,U,71.926,ME-K
S.B.ABAD,R,81.50399999999999,CE
S.B.ABAD,R,80.699,EL
S.B.ABAD,R,79.83,ME
S.B.ABAD,R,79.712,CE-K
S.B.ABAD,R,78.263,ES
S.B.ABAD,R,78.04,CS
S.B.ABAD,R,76.896,SW
S.B.ABAD,R,76.747,SW
S.B.ABAD,R,76.472,ES
S.B.ABAD,R,76.19,TE
S.B.ABAD,R,75.964,CH
S.B.ABAD,R,75.81,CE-K
S.B.ABAD,R,75.741,SW
