District,U/R,CPN,Discp.
N.Feroze,R,83.259,CE
N.Feroze,R,82.457,EL
N.Feroze,R,81.681,EL
N.Feroze,R,79.982,ES
N.Feroze,R,79.572,CE-K
N.Feroze,R,78.973,CE-K
N.Feroze,R,77.958,CE-K
N.Feroze,R,77.806,ES
N.Feroze,R,77.785,CH
N.Feroze,R,77.765,ES
N.Feroze,R,77.656,CE-K
N.Feroze,R,77.486,CH
N.Feroze,R,77.231,CH-L
N.Feroze,R,76.672,CS
N.Feroze,R,76.280,CE-Pesh
N.Feroze,R,75.730,EL-K
N.Feroze,R,75.430,PG
N.Feroze,R,75.393,ME-K
N.Feroze,R,75.222,SW
N.Feroze,R,75.217,ME-K
N.Feroze,R,75.178,ME-K
N.Feroze,R,74.999,PG
N.Feroze,R,74.781,SW
N.Feroze,R,74.333,EL-K
N.Feroze,R,74.149,MN
N.Feroze,R,73.748,ME-K
N.Feroze,R,73.721,EL-K
N.Feroze,R,73.691,CS
N.Feroze,R,73.630,EL-K
N.Feroze,R,73.181,MTE
N.Feroze,R,73.174,AR
N.Feroze,R,72.962,ES-K
N.Feroze,R,72.778,PG-K
N.Feroze,R,72.548,TL
N.Feroze,R,72.219,TL
N.Feroze,R,71.959,TL
N.Feroze,R,71.921,AR-Pesh
N.Feroze,R,71.727,SW-K
N.Feroze,R,71.573,CRP
N.Feroze,R,71.274,EE
N.Feroze,R,71.178,ES-K
N.Feroze,R,71.171,BM
N.Feroze,R,71.138,MN
N.Feroze,R,71.035,IN
N.Feroze,R,70.964,SW-K
N.Feroze,R,70.901,IN
N.Feroze,R,70.710,PG-K
N.Feroze,R,70.678,PG-K
N.Feroze,R,70.345,SW-K
N.Feroze,R,70.260,TE
N.Feroze,R,69.978,TE-P
N.Feroze,R,69.916,TE
N.Feroze,R,69.773,MT
N.Feroze,R,69.547,MT
S.B.Abad,U,78.932,Ar
S.B.Abad,U,78.416,ES
S.B.Abad,U,74.719,CS
S.B.Abad,U,73.826,PG
S.B.Abad,U,73.726,MTE
S.B.Abad,U,72.526,EL-K
S.B.Abad,U,72.451,ME-K-P
S.B.Abad,U,72.097,SW-K
S.B.Abad,U,71.926,ME-K
S.B.Abad,R,81.504,CE
S.B.Abad,R,80.699,EL
S.B.Abad,R,79.830,ME
S.B.Abad,R,79.712,CE-K
S.B.Abad,R,78.263,ES
S.B.Abad,R,78.040,CS
S.B.Abad,R,76.896,Sw
S.B.Abad,R,76.747,SW
S.B.Abad,R,76.472,ES
S.B.Abad,R,76.190,TE
S.B.Abad,R,75.964,CH
S.B.Abad,R,75.810,CE-K
S.B.Abad,R,75.741,SW
S.B.Abad,R,74.927,CH
S.B.Abad,R,74.911,TL
S.B.Abad,R,74.492,TL
S.B.Abad,R,74.030,CE-K
S.B.Abad,R,73.266,EL-K
S.B.Abad,R,72.744,MN
S.B.Abad,R,71.757,TL
S.B.Abad,R,71.505,CE-K
S.B.Abad,R,71.210,PG
